Service,Customer Name,Vehicle Model,Service Type,Service Date,Service Cost,Service Status,Payment Method,Technician
SVC2037,Chinedu Okeke,Kia Rio,Battery Replacement,12/21/2025,"$93,412.70 ",Pending,Transfer,Tech5
SVC2038,Grace Johnson,Ford Focus,Ac Service,7/13/2025,"$547,277.90 ",In Progress,Transfer,Tech12
SVC2039,Emeka Obi,Hyundai Elantra,Wheel Alignment,22/11/2024,"$53,602.70 ",Completed,Card,Tech47
SVC2040,Tunde Bakare,Toyota Corolla,Unknown Service,6/4/2024,"$76,394.50 ",Completed,Transfer,Tech39
SVC2041,Chinedu Okeke,Toyota Corolla,Battery Replacement,12/10/2025,"$56,590.30 ",In Progress,Card,Tech11
SVC2042,John Doe,Honda Accord,Battery Replacement,4/14/2025,"$47,108.10 ",Completed,Cash,Tech48
SVC2043,Grace Johnson,Hyundai Elantra,Wheel Alignment,8/15/2024,"$35,734.30 ",Pending,Card,Tech45
SVC2044,Adewale Musa,Nissan Altima,Oil Change,7/23/2025,"$88,242.70 ",Completed,Cash,Tech37
SVC2045,Grace Johnson,Toyota Corolla,Battery Replacement,3/2/2024,"$133,927.00 ",Pending,Transfer,Tech1
SVC2046,Fatima Bello,Hyundai Elantra,Wheel Alignment,2/17/2023,"$134,128.30 ",Cancelled,Card,Tech7
SVC2047,Fatima Bello,Nissan Altima,Wheel Alignment,10/29/2024,"$73,581.70 ",In Progress,Transfer,Tech38
SVC2048,Adewale Musa,Kia Rio,Ac Service,10/19/2023,"$136,639.70 ",In Progress,Cash,Tech25
SVC2049,Emeka Obi,Honda Accord,Wheel Alignment,2/13/2025,"$93,451.00 ",In Progress,Transfer,Tech50
SVC2050,Fatima Bello,Hyundai Elantra,Ac Service,5/16/2023,"$64,004.10 ",Completed,Cash,Tech42
SVC2051,Grace Johnson,Nissan Altima,Unknown Service,6/26/2025,"$81,532.80 ",Completed,Card,Tech36
SVC2052,Adewale Musa,Hyundai Elantra,Wheel Alignment,4/5/2025,"$95,911.80 ",Completed,Transfer,Tech38
SVC2053,Emeka Obi,Hyundai Elantra,Engine Diagnostics,6/23/2024,"$62,605.40 ",Pending,Transfer,Tech31
SVC2054,Tunde Bakare,Hyundai Elantra,Ac Service,2/19/2024,"$137,793.80 ",Pending,Transfer,Tech39
SVC910,Chinedu Okeke,Honda Accord,Unknown Service,2/16/2025,"$36,736.30 ",Pending,Card,Tech2
SVC2056,Adewale Musa,Honda Accord,Battery Replacement,8/30/2024,"$433,668.10 ",Pending,Card,Tech32
SVC2057,Grace Johnson,Kia Rio,Battery Replacement,1/18/2024,"$7,032.00 ",Completed,Cash,Tech13
SVC2058,Adewale Musa,Toyota Corolla,Unknown Service,11/27/2024,"$118,737.20 ",In Progress,Card,Tech1
SVC2059,Jane Smith,Nissan Altima,Unknown Service,24/11/2024,"$88,001.70 ",Completed,Card,Tech30
SVC2060,Grace Johnson,Hyundai Elantra,Oil Change,5/6/2023,"$129,831.10 ",In Progress,Transfer,Tech10
SVC2061,Tunde Bakare,Honda Accord,Battery Replacement,4/3/2024,"$52,544.10 ",Pending,Cash,Tech35
SVC2062,Adewale Musa,Toyota Corolla,Engine Diagnostics,6/12/2025,"$15,549.20 ",In Progress,Cash,Tech35
SVC981,Adewale Musa,Nissan Altima,Oil Change,11/5/2025,"$99,013.70 ",Pending,Cash,Tech38
SVC2064,Grace Johnson,Toyota Corolla,Brake Repair,7/7/2023,"$138,929.20 ",Completed,Transfer,Tech24
SVC2065,John Doe,Kia Rio,Oil Change,7/16/2024,"$118,136.00 ",Completed,Cash,Tech50
SVC2066,Grace Johnson,Nissan Altima,Ac Service,12/11/2023,"$51,416.90 ",Completed,Cash,Tech49
SVC2067,Jane Smith,Nissan Altima,Wheel Alignment,4/17/2023,"$133,038.00 ",In Progress,Transfer,Tech6
SVC2068,Tunde Bakare,Toyota Corolla,Battery Replacement,7/26/2024,"$30,506.60 ",Completed,Cash,Tech31
SVC2069,Jane Smith,Toyota Corolla,Battery Replacement,16/01/2024,"$96,922.60 ",In Progress,Transfer,Tech40
SVC997,Tunde Bakare,Ford Focus,Unknown Service,1/18/2024,"$115,417.20 ",Pending,Cash,Tech35
SVC2071,Tunde Bakare,Nissan Altima,Oil Change,12/4/2024,"$93,151.00 ",Completed,Card,Tech12
SVC2074,Grace Johnson,Nissan Altima,Ac Service,2/2/2023,"$51,464.00 ",Pending,Card,Tech15
SVC2076,Fatima Bello,Toyota Corolla,Unknown Service,8/20/2023,"$91,855.20 ",Completed,Card,Tech25
SVC2077,Grace Johnson,Toyota Corolla,Wheel Alignment,5/22/2025,"$1,284,761.00 ",Completed,Card,Tech46
SVC2078,Jane Smith,Nissan Altima,Wheel Alignment,12/30/2023,"$60,525.20 ",In Progress,Card,Tech1
SVC2079,Fatima Bello,Toyota Corolla,Engine Diagnostics,4/26/2024,"$81,383.60 ",Completed,Card,Tech16
SVC2080,Fatima Bello,Toyota Corolla,Oil Change,7/10/2025,"$69,119.20 ",In Progress,Transfer,Tech45
SVC2081,Adewale Musa,Hyundai Elantra,Brake Repair,1/14/2025,"$121,235.10 ",In Progress,Transfer,Tech4
SVC2082,Jane Smith,Hyundai Elantra,Oil Change,29/03/2023,"$542,898.20 ",Cancelled,Cash,Tech22
SVC2083,Adewale Musa,Nissan Altima,Engine Diagnostics,1/12/2023,"$94,894.50 ",Completed,Card,Tech22
SVC2084,John Doe,Kia Rio,Unknown Service,3/1/2025,"$147,794.60 ",Completed,Cash,Tech40
SVC915,Adewale Musa,Toyota Corolla,Engine Diagnostics,1/20/2025,"$23,312.80 ",Completed,Card,Tech16
SVC2086,Chinedu Okeke,Nissan Altima,Ac Service,1/25/2024,"$721,619.80 ",In Progress,Transfer,Tech48
SVC2087,Chinedu Okeke,Nissan Altima,Brake Repair,2/22/2024,"$113,289.90 ",In Progress,Cash,Tech29
SVC2088,Grace Johnson,Nissan Altima,Unknown Service,10/19/2024,"$39,957.90 ",In Progress,Card,Tech5
SVC2089,Tunde Bakare,Nissan Altima,Brake Repair,2/22/2025,"$119,145.70 ",Completed,Transfer,Tech20
SVC2091,Emeka Obi,Toyota Corolla,Engine Diagnostics,2/11/2024,"$15,927.60 ",Pending,Cash,Tech34
SVC2092,John Doe,Honda Accord,Wheel Alignment,10/31/2024,"$141,255.90 ",Completed,Card,Tech25
SVC2093,Emeka Obi,Honda Accord,Oil Change,10/17/2024,"$88,753.30 ",In Progress,Transfer,Tech29
SVC2094,Emeka Obi,Honda Accord,Engine Diagnostics,6/18/2024,"$28,503.00 ",Completed,Card,Tech21
SVC2095,Fatima Bello,Honda Accord,Ac Service,6/20/2025,"$9,071.40 ",In Progress,Card,Tech11
SVC2096,John Doe,Kia Rio,Battery Replacement,25/09/2023,"$122,570.80 ",Pending,Transfer,Tech48
SVC2097,Jane Smith,Ford Focus,Ac Service,9/28/2025,"$34,289.30 ",Completed,Transfer,Tech29
SVC2098,Chinedu Okeke,Honda Accord,Brake Repair,5/5/2023,"$117,947.00 ",In Progress,Transfer,Tech32
SVC2099,Fatima Bello,Ford Focus,Engine Diagnostics,7/11/2023,"$88,599.60 ",Pending,Transfer,Tech26
SVC2100,Adewale Musa,Honda Accord,Battery Replacement,2/7/2024,"$130,676.00 ",Completed,Cash,Tech44
SVC2103,Chinedu Okeke,Nissan Altima,Battery Replacement,11/19/2023,"$945,386.50 ",Pending,Cash,Tech6
SVC2104,Emeka Obi,Toyota Corolla,Oil Change,3/27/2023,"$87,923.20 ",In Progress,Transfer,Tech2
SVC2105,Emeka Obi,Honda Accord,Battery Replacement,3/17/2023,"$46,245.30 ",Completed,Transfer,Tech39
SVC2106,Chinedu Okeke,Toyota Corolla,Oil Change,7/25/2023,"$149,212.20 ",Pending,Transfer,Tech49
SVC2107,Emeka Obi,Hyundai Elantra,Wheel Alignment,2/1/2024,"$117,572.60 ",In Progress,Transfer,Tech48
SVC2108,Jane Smith,Nissan Altima,Brake Repair,10/13/2025,"$141,519.30 ",Completed,Card,Tech12
SVC2109,Jane Smith,Honda Accord,Brake Repair,2/25/2023,"$29,121.00 ",Pending,Cash,Tech1
SVC2111,Jane Smith,Kia Rio,Ac Service,4/10/2025,"$86,842.10 ",Completed,Transfer,Tech48
SVC2112,Emeka Obi,Hyundai Elantra,Oil Change,5/29/2024,"$127,028.90 ",In Progress,Cash,Tech13
SVC2113,Jane Smith,Toyota Corolla,Engine Diagnostics,2/24/2023,"$85,307.30 ",Completed,Cash,Tech31
SVC2114,Fatima Bello,Nissan Altima,Unknown Service,10/31/2023,"$9,419.90 ",Pending,Cash,Tech28
SVC2115,Grace Johnson,Hyundai Elantra,Ac Service,1/8/2024,"$82,095.30 ",In Progress,Transfer,Tech40
SVC2116,John Doe,Kia Rio,Oil Change,4/4/2025,"$124,274.90 ",Completed,Cash,Tech1
SVC2118,John Doe,Ford Focus,Battery Replacement,2/8/2023,"$13,349.20 ",Completed,Transfer,Tech11
SVC2119,Jane Smith,Honda Accord,Engine Diagnostics,1/7/2023,"$41,147.10 ",Completed,Cash,Tech6
SVC2120,Emeka Obi,Hyundai Elantra,Engine Diagnostics,12/19/2025,"$97,637.80 ",Pending,Transfer,Tech28
SVC2121,Fatima Bello,Toyota Corolla,Ac Service,3/18/2024,"$465,649.80 ",Completed,Card,Tech26
SVC2122,Chinedu Okeke,Nissan Altima,Ac Service,8/22/2023,"$696,798.60 ",In Progress,Card,Tech22
SVC2123,Grace Johnson,Honda Accord,Unknown Service,11/21/2025,"$123,873.00 ",Completed,Cash,Tech17
SVC2124,Adewale Musa,Honda Accord,Ac Service,21/06/2023,"$58,559.70 ",In Progress,Card,Tech8
SVC2125,Chinedu Okeke,Nissan Altima,Brake Repair,11/6/2025,"$123,221.20 ",Completed,Transfer,Tech15
SVC2126,Jane Smith,Honda Accord,Wheel Alignment,2/17/2025,"$59,200.90 ",Cancelled,Cash,Tech28
SVC2127,Grace Johnson,Toyota Corolla,Wheel Alignment,8/6/2025,"$17,343.60 ",Pending,Card,Tech4
SVC2128,Fatima Bello,Nissan Altima,Ac Service,26/03/2025,"$88,896.40 ",Cancelled,Transfer,Tech8
SVC2130,Grace Johnson,Toyota Corolla,Brake Repair,2/22/2023,"$474,632.30 ",Completed,Transfer,Tech20
SVC2131,Grace Johnson,Hyundai Elantra,Oil Change,7/17/2024,"$70,693.70 ",Completed,Card,Tech17
SVC2132,Emeka Obi,Hyundai Elantra,Ac Service,3/20/2025,"$842,732.30 ",Cancelled,Transfer,Tech33
SVC2133,Adewale Musa,Ford Focus,Unknown Service,1/2/2025,"$26,944.10 ",Completed,Cash,Tech41
SVC2134,Fatima Bello,Ford Focus,Brake Repair,6/5/2024,"$97,814.10 ",Pending,Transfer,Tech36
SVC2135,Emeka Obi,Hyundai Elantra,Brake Repair,5/28/2025,"$85,662.60 ",Completed,Card,Tech35
SVC2136,Tunde Bakare,Nissan Altima,Engine Diagnostics,6/13/2023,"$99,291.40 ",In Progress,Cash,Tech2
SVC2137,Fatima Bello,Toyota Corolla,Ac Service,3/21/2025,"$44,276.20 ",In Progress,Transfer,Tech27
SVC2138,Chinedu Okeke,Kia Rio,Wheel Alignment,1/5/2024,"$84,685.10 ",Pending,Transfer,Tech24
SVC2139,John Doe,Kia Rio,Oil Change,7/15/2024,"$127,498.70 ",In Progress,Transfer,Tech37
SVC904,Fatima Bello,Ford Focus,Brake Repair,11/27/2024,"$93,941.60 ",In Progress,Cash,Tech40
SVC2141,Adewale Musa,Honda Accord,Oil Change,4/8/2025,"$134,407.20 ",Cancelled,Transfer,Tech6
SVC2142,Adewale Musa,Kia Rio,Unknown Service,21/05/2025,"$118,575.50 ",Cancelled,Transfer,Tech25
SVC2143,John Doe,Toyota Corolla,Battery Replacement,3/10/2025,"$129,058.50 ",In Progress,Cash,Tech17
SVC2144,Adewale Musa,Toyota Corolla,Battery Replacement,1/13/2023,"$20,030.20 ",Cancelled,Cash,Tech15
SVC2145,Tunde Bakare,Kia Rio,Unknown Service,6/28/2025,"$7,177.00 ",Completed,Cash,Tech45
SVC2146,Grace Johnson,Toyota Corolla,Battery Replacement,12/18/2025,"$139,992.90 ",In Progress,Transfer,Tech24
SVC2147,Chinedu Okeke,Hyundai Elantra,Unknown Service,1/24/2025,"$38,177.10 ",Completed,Cash,Tech46
SVC2148,Jane Smith,Honda Accord,Oil Change,6/5/2024,"$142,458.30 ",Pending,Card,Tech11
SVC2149,Chinedu Okeke,Hyundai Elantra,Wheel Alignment,3/2/2025,"$99,659.10 ",Cancelled,Card,Tech23
SVC2150,Jane Smith,Hyundai Elantra,Oil Change,11/20/2025,"$68,566.30 ",Cancelled,Transfer,Tech21
SVC2151,John Doe,Ford Focus,Ac Service,6/19/2024,"$135,172.20 ",In Progress,Cash,Tech19
SVC2152,Chinedu Okeke,Kia Rio,Engine Diagnostics,5/8/2024,"$149,177.80 ",Pending,Transfer,Tech39
SVC2153,Grace Johnson,Nissan Altima,Battery Replacement,9/18/2024,"$108,697.50 ",Completed,Card,Tech40
SVC945,Adewale Musa,Nissan Altima,Battery Replacement,1/6/2024,"$66,987.10 ",Pending,Transfer,Tech5
SVC2155,Emeka Obi,Hyundai Elantra,Oil Change,3/3/2023,"$22,883.30 ",Completed,Card,Tech5
SVC2156,Emeka Obi,Nissan Altima,Ac Service,15/01/2024,"$74,779.90 ",In Progress,Transfer,Tech48
SVC2157,Adewale Musa,Honda Accord,Wheel Alignment,5/12/2025,"$138,392.80 ",Pending,Card,Tech29
SVC2158,Fatima Bello,Toyota Corolla,Brake Repair,1/27/2025,"$304,807.30 ",Pending,Cash,Tech29
SVC2159,Adewale Musa,Hyundai Elantra,Brake Repair,7/4/2024,"$98,019.60 ",Pending,Transfer,Tech34
SVC2160,Chinedu Okeke,Hyundai Elantra,Unknown Service,7/25/2023,"$141,801.50 ",In Progress,Cash,Tech28
SVC2162,Adewale Musa,Nissan Altima,Battery Replacement,2/12/2025,"$15,704.70 ",Completed,Transfer,Tech7
SVC2163,John Doe,Hyundai Elantra,Brake Repair,8/25/2025,"$94,047.20 ",In Progress,Cash,Tech22
SVC2164,John Doe,Ford Focus,Brake Repair,2/11/2025,"$110,214.30 ",Pending,Card,Tech6
SVC906,Jane Smith,Ford Focus,Engine Diagnostics,2/17/2025,"$105,516.00 ",Completed,Transfer,Tech34
SVC2167,Grace Johnson,Toyota Corolla,Oil Change,8/18/2024,"$48,895.20 ",Pending,Card,Tech30
SVC2168,Jane Smith,Kia Rio,Brake Repair,10/10/2023,"$102,289.80 ",Pending,Card,Tech2
SVC2169,Fatima Bello,Hyundai Elantra,Battery Replacement,12/10/2024,"$43,609.30 ",Pending,Cash,Tech28
SVC2171,Grace Johnson,Kia Rio,Wheel Alignment,4/12/2023,"$59,063.00 ",Completed,Transfer,Tech5
SVC2172,Adewale Musa,Hyundai Elantra,Unknown Service,27/10/2025,"$138,333.70 ",In Progress,Card,Tech7
SVC2173,Fatima Bello,Nissan Altima,Engine Diagnostics,4/7/2023,"$149,084.40 ",In Progress,Cash,Tech33
SVC2174,John Doe,Honda Accord,Engine Diagnostics,1/3/2023,"$30,810.00 ",Completed,Cash,Tech9
SVC2175,Chinedu Okeke,Ford Focus,Engine Diagnostics,6/10/2023,"$11,358.30 ",Completed,Transfer,Tech18
SVC2176,Adewale Musa,Toyota Corolla,Unknown Service,23/08/2024,"$122,555.60 ",Pending,Transfer,Tech4
SVC2177,John Doe,Ford Focus,Battery Replacement,8/25/2023,"$126,268.20 ",In Progress,Cash,Tech31
SVC2178,Jane Smith,Toyota Corolla,Engine Diagnostics,6/12/2024,"$80,982.60 ",In Progress,Cash,Tech12
SVC2179,Emeka Obi,Hyundai Elantra,Unknown Service,6/15/2025,"$84,453.30 ",Completed,Card,Tech1
SVC2180,John Doe,Ford Focus,Battery Replacement,2/1/2024,"$31,502.00 ",In Progress,Cash,Tech38
SVC2182,Chinedu Okeke,Honda Accord,Wheel Alignment,11/4/2025,"$142,901.10 ",Pending,Card,Tech13
SVC2183,Emeka Obi,Ford Focus,Battery Replacement,2/26/2024,"$56,814.90 ",Completed,Transfer,Tech44
SVC2184,Adewale Musa,Nissan Altima,Engine Diagnostics,4/23/2024,"$54,268.70 ",Completed,Transfer,Tech34
SVC2185,Tunde Bakare,Honda Accord,Wheel Alignment,10/4/2024,"$101,631.90 ",In Progress,Cash,Tech33
SVC1053,Chinedu Okeke,Kia Rio,Oil Change,6/20/2025,"$232,781.90 ",Completed,Transfer,Tech46
SVC2187,Tunde Bakare,Nissan Altima,Ac Service,27/02/2023,"$132,672.50 ",In Progress,Cash,Tech7
SVC2188,Jane Smith,Kia Rio,Oil Change,7/22/2024,"$144,744.40 ",In Progress,Transfer,Tech39
SVC2190,Jane Smith,Nissan Altima,Oil Change,3/29/2024,"$11,392.90 ",Completed,Card,Tech4
SVC2191,Chinedu Okeke,Toyota Corolla,Engine Diagnostics,5/2/2023,"$7,974.10 ",In Progress,Transfer,Tech49
SVC2192,Fatima Bello,Kia Rio,Ac Service,9/4/2025,"$23,851.10 ",In Progress,Cash,Tech44
SVC2195,Chinedu Okeke,Toyota Corolla,Battery Replacement,6/2/2025,"$1,118,981.70 ",Completed,Card,Tech40
SVC2196,Chinedu Okeke,Toyota Corolla,Brake Repair,10/3/2024,"$129,802.00 ",Completed,Transfer,Tech49
SVC2197,Emeka Obi,Toyota Corolla,Ac Service,5/23/2023,"$58,656.40 ",Completed,Card,Tech18
SVC2198,Grace Johnson,Kia Rio,Wheel Alignment,10/24/2024,"$32,411.50 ",In Progress,Transfer,Tech21
SVC2199,John Doe,Hyundai Elantra,Ac Service,10/17/2023,"$18,697.20 ",In Progress,Transfer,Tech2
SVC2200,John Doe,Ford Focus,Battery Replacement,13/01/2023,"$107,076.80 ",Pending,Cash,Tech23
SVC2201,Emeka Obi,Nissan Altima,Brake Repair,1/19/2025,"$146,968.00 ",Pending,Cash,Tech35
SVC2202,John Doe,Kia Rio,Engine Diagnostics,21/08/2025,"$28,564.50 ",In Progress,Card,Tech4
SVC2203,Grace Johnson,Honda Accord,Wheel Alignment,5/18/2023,"$45,418.00 ",Cancelled,Transfer,Tech33
SVC2204,Chinedu Okeke,Ford Focus,Ac Service,12/11/2023,"$96,936.40 ",Pending,Card,Tech9
SVC2205,Jane Smith,Hyundai Elantra,Oil Change,7/1/2023,"$11,007.20 ",Completed,Card,Tech34
SVC2206,Adewale Musa,Honda Accord,Engine Diagnostics,9/19/2023,"$71,253.10 ",In Progress,Transfer,Tech9
SVC2207,Fatima Bello,Honda Accord,Oil Change,2/2/2025,"$48,288.00 ",Completed,Card,Tech22
SVC2208,Fatima Bello,Honda Accord,Engine Diagnostics,4/17/2024,"$61,129.40 ",Cancelled,Cash,Tech35
SVC2209,Chinedu Okeke,Hyundai Elantra,Engine Diagnostics,6/1/2023,"$60,558.90 ",Cancelled,Card,Tech48
SVC2210,Chinedu Okeke,Nissan Altima,Ac Service,5/17/2023,"$144,970.30 ",Completed,Card,Tech27
SVC2211,Tunde Bakare,Hyundai Elantra,Battery Replacement,8/1/2025,"$32,517.10 ",Completed,Cash,Tech33
SVC2212,Tunde Bakare,Honda Accord,Ac Service,3/16/2023,"$102,658.40 ",Completed,Card,Tech50
SVC2213,Grace Johnson,Ford Focus,Battery Replacement,12/9/2023,"$100,412.20 ",Completed,Card,Tech6
SVC2214,Tunde Bakare,Toyota Corolla,Ac Service,10/18/2024,"$101,673.00 ",Completed,Cash,Tech48
SVC2216,Tunde Bakare,Toyota Corolla,Engine Diagnostics,9/29/2024,"$57,271.40 ",In Progress,Card,Tech36
SVC2217,Jane Smith,Kia Rio,Wheel Alignment,1/18/2024,"$30,677.10 ",In Progress,Card,Tech13
SVC2218,Tunde Bakare,Ford Focus,Oil Change,9/17/2023,"$119,046.50 ",In Progress,Transfer,Tech26
SVC2219,Tunde Bakare,Honda Accord,Engine Diagnostics,1/23/2025,"$148,158.40 ",Completed,Transfer,Tech22
SVC2220,Adewale Musa,Nissan Altima,Wheel Alignment,9/8/2024,"$133,489.00 ",In Progress,Card,Tech12
SVC2221,Grace Johnson,Ford Focus,Wheel Alignment,12/29/2025,"$76,874.00 ",Pending,Cash,Tech27
SVC2222,Jane Smith,Honda Accord,Battery Replacement,12/2/2023,"$35,321.70 ",In Progress,Cash,Tech8
SVC2223,John Doe,Honda Accord,Unknown Service,8/16/2025,"$105,267.60 ",Completed,Card,Tech45
SVC2224,Grace Johnson,Nissan Altima,Ac Service,11/29/2025,"$21,163.90 ",Pending,Card,Tech9
SVC2225,John Doe,Kia Rio,Brake Repair,2/24/2023,"$10,273.20 ",Cancelled,Cash,Tech49
SVC2226,Grace Johnson,Ford Focus,Oil Change,7/9/2023,"$48,663.00 ",In Progress,Card,Tech47
SVC2227,Adewale Musa,Kia Rio,Engine Diagnostics,3/30/2024,"$59,822.10 ",In Progress,Transfer,Tech45
SVC2228,Chinedu Okeke,Hyundai Elantra,Oil Change,10/16/2025,"$136,884.00 ",In Progress,Card,Tech31
SVC2229,Emeka Obi,Kia Rio,Ac Service,1/10/2024,"$37,697.80 ",In Progress,Card,Tech3
SVC2230,Tunde Bakare,Kia Rio,Wheel Alignment,25/10/2023,"$115,851.20 ",Cancelled,Card,Tech49
SVC2231,Fatima Bello,Toyota Corolla,Battery Replacement,12/11/2023,"$144,730.30 ",In Progress,Cash,Tech11
SVC2232,Emeka Obi,Toyota Corolla,Battery Replacement,5/16/2024,"$147,053.30 ",In Progress,Cash,Tech40
SVC2233,Tunde Bakare,Honda Accord,Unknown Service,9/7/2023,"$30,902.50 ",Cancelled,Transfer,Tech32
SVC2234,Grace Johnson,Honda Accord,Engine Diagnostics,5/28/2023,"$128,987.10 ",In Progress,Card,Tech12
SVC2235,Chinedu Okeke,Ford Focus,Ac Service,10/14/2025,"$519,740.40 ",Completed,Card,Tech2
SVC2236,Adewale Musa,Ford Focus,Oil Change,16/07/2023,"$121,703.80 ",Completed,Transfer,Tech17
SVC2237,Tunde Bakare,Kia Rio,Battery Replacement,3/16/2023,"$110,699.80 ",Completed,Cash,Tech16
SVC2238,Emeka Obi,Ford Focus,Wheel Alignment,7/31/2025,"$143,459.20 ",Completed,Transfer,Tech31
SVC2239,Chinedu Okeke,Toyota Corolla,Oil Change,2/20/2024,"$105,840.70 ",Completed,Cash,Tech35
SVC990,Chinedu Okeke,Honda Accord,Unknown Service,9/5/2023,"$92,379.60 ",Completed,Card,Tech2
SVC2242,Adewale Musa,Kia Rio,Battery Replacement,3/1/2023,"$15,041.70 ",In Progress,Cash,Tech18
SVC2243,Grace Johnson,Kia Rio,Oil Change,9/5/2025,"$66,025.40 ",Pending,Transfer,Tech43
SVC2244,Fatima Bello,Hyundai Elantra,Ac Service,2/26/2024,"$60,920.30 ",Completed,Card,Tech22
SVC2245,Adewale Musa,Honda Accord,Oil Change,6/10/2023,"$105,734.60 ",In Progress,Cash,Tech8
SVC2246,Chinedu Okeke,Kia Rio,Battery Replacement,3/29/2024,"$94,041.80 ",Completed,Card,Tech23
SVC2247,Tunde Bakare,Toyota Corolla,Battery Replacement,7/18/2024,"$107,810.30 ",Cancelled,Transfer,Tech26
SVC2248,Adewale Musa,Ford Focus,Ac Service,9/20/2023,"$70,379.10 ",Completed,Card,Tech8
SVC2249,Fatima Bello,Hyundai Elantra,Oil Change,3/30/2023,"$109,827.80 ",Pending,Card,Tech2
SVC995,Jane Smith,Kia Rio,Oil Change,5/15/2024,"$52,389.40 ",Cancelled,Transfer,Tech16
SVC2252,Jane Smith,Ford Focus,Brake Repair,7/8/2023,"$11,222.10 ",Cancelled,Cash,Tech41
SVC2253,John Doe,Toyota Corolla,Engine Diagnostics,1/5/2023,"$117,923.90 ",Pending,Transfer,Tech5
SVC2254,Fatima Bello,Nissan Altima,Wheel Alignment,6/23/2023,"$141,288.50 ",Pending,Cash,Tech23
SVC2255,Adewale Musa,Toyota Corolla,Wheel Alignment,9/26/2024,"$37,309.20 ",Cancelled,Cash,Tech17
SVC2256,Chinedu Okeke,Toyota Corolla,Unknown Service,2/27/2023,"$47,449.50 ",In Progress,Cash,Tech12
SVC2257,Emeka Obi,Toyota Corolla,Battery Replacement,7/3/2023,"$85,064.50 ",Completed,Transfer,Tech20
SVC2258,Tunde Bakare,Ford Focus,Battery Replacement,1/12/2023,"$68,532.40 ",In Progress,Cash,Tech46
SVC2259,Adewale Musa,Ford Focus,Battery Replacement,9/9/2023,"$123,184.70 ",Completed,Transfer,Tech20
SVC1084,Adewale Musa,Hyundai Elantra,Engine Diagnostics,12/22/2023,"$118,580.40 ",Pending,Transfer,Tech12
SVC2261,Jane Smith,Honda Accord,Battery Replacement,6/4/2023,"$98,054.50 ",Completed,Cash,Tech10
SVC2262,Grace Johnson,Ford Focus,Unknown Service,4/27/2025,"$83,326.70 ",In Progress,Card,Tech48
SVC2263,Fatima Bello,Toyota Corolla,Engine Diagnostics,6/24/2024,"$100,780.30 ",Pending,Cash,Tech30
SVC2264,Fatima Bello,Nissan Altima,Oil Change,2/28/2025,"$61,016.00 ",Cancelled,Cash,Tech42
SVC2265,Grace Johnson,Hyundai Elantra,Ac Service,4/7/2023,"$114,946.20 ",In Progress,Card,Tech44
SVC2266,John Doe,Honda Accord,Wheel Alignment,4/12/2023,"$81,982.80 ",Completed,Card,Tech32
SVC2267,John Doe,Nissan Altima,Oil Change,10/8/2025,"$472,454.70 ",Pending,Transfer,Tech36
SVC2268,Adewale Musa,Kia Rio,Wheel Alignment,10/23/2023,"$30,036.20 ",In Progress,Card,Tech10
SVC2269,Chinedu Okeke,Honda Accord,Brake Repair,2/19/2024,"$59,473.70 ",In Progress,Transfer,Tech17
SVC2270,Grace Johnson,Nissan Altima,Brake Repair,12/7/2023,"$47,692.00 ",In Progress,Card,Tech42
SVC2272,Chinedu Okeke,Hyundai Elantra,Ac Service,24/05/2025,"$129,726.30 ",Completed,Transfer,Tech33
SVC2273,Grace Johnson,Honda Accord,Unknown Service,2/5/2023,"$28,194.00 ",In Progress,Cash,Tech40
SVC2274,John Doe,Kia Rio,Oil Change,20/04/2025,"$16,680.20 ",Completed,Card,Tech9
SVC2275,John Doe,Kia Rio,Ac Service,1/4/2024,"$11,096.00 ",In Progress,Card,Tech28
SVC2276,Tunde Bakare,Honda Accord,Engine Diagnostics,8/29/2024,"$67,562.40 ",Pending,Transfer,Tech43
SVC2277,Tunde Bakare,Honda Accord,Engine Diagnostics,12/23/2025,"$101,098.20 ",Completed,Cash,Tech35
SVC2278,Adewale Musa,Ford Focus,Brake Repair,3/21/2024,"$43,010.90 ",Pending,Card,Tech44
SVC2279,Chinedu Okeke,Honda Accord,Unknown Service,25/12/2025,"$100,483.10 ",Pending,Card,Tech31
SVC2280,Chinedu Okeke,Nissan Altima,Unknown Service,12/14/2025,"$120,396.50 ",Pending,Cash,Tech15
SVC2281,Emeka Obi,Ford Focus,Brake Repair,5/8/2023,"$99,494.70 ",In Progress,Card,Tech35
SVC2282,Grace Johnson,Hyundai Elantra,Engine Diagnostics,5/15/2024,"$55,436.20 ",Completed,Card,Tech45
SVC2283,Emeka Obi,Ford Focus,Engine Diagnostics,5/3/2023,"$135,376.00 ",Completed,Cash,Tech16
SVC2284,Grace Johnson,Hyundai Elantra,Ac Service,3/15/2024,"$62,725.60 ",In Progress,Transfer,Tech35
SVC2285,Adewale Musa,Honda Accord,Ac Service,9/16/2024,"$64,088.80 ",In Progress,Card,Tech15
SVC2286,Grace Johnson,Ford Focus,Unknown Service,12/18/2025,"$5,119.00 ",Completed,Cash,Tech31
SVC2287,Jane Smith,Honda Accord,Engine Diagnostics,12/22/2024,"$52,178.20 ",Completed,Transfer,Tech23
SVC2288,Adewale Musa,Ford Focus,Battery Replacement,2/10/2025,"$65,754.90 ",In Progress,Cash,Tech2
